<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.19	00:00:00	75729.98	75874.19	75710.93	75812.07	443	0	1400
2026.04.19	00:15:00	75809.53	75809.53	75596.34	75648.10	682	0	1400
2026.04.19	00:30:00	75651.51	75683.02	75574.75	75611.80	507	0	1400
2026.04.19	00:45:00	75610.84	75713.15	75601.30	75693.79	435	0	1400
2026.04.19	01:00:00	75693.90	75826.90	75653.78	75700.16	587	0	1400
2026.04.19	01:15:00	75698.72	75698.74	75567.81	75573.16	457	0	1400
2026.04.19	01:30:00	75579.17	75614.11	75479.94	75584.42	526	0	1400
2026.04.19	01:45:00	75584.29	75673.86	75572.22	75642.93	344	0	1400
2026.04.19	02:00:00	75642.25	75675.55	75596.68	75660.10	361	0	1400
2026.04.19	02:15:00	75654.56	75715.64	75414.95	75522.82	682	0	1400
2026.04.19	02:30:00	75523.18	75756.92	75474.24	75678.11	666	0	1400
2026.04.19	02:45:00	75672.64	75714.10	75522.51	75526.68	486	0	1400
2026.04.19	03:00:00	75521.40	75575.54	75389.27	75559.27	645	0	1400
2026.04.19	03:15:00	75563.42	75593.08	75487.09	75550.63	493	0	1400
2026.04.19	03:30:00	75551.18	75640.17	75511.95	75633.06	479	0	1400
2026.04.19	03:45:00	75629.32	75676.94	75536.44	75544.36	410	0	1400
2026.04.19	04:00:00	75544.75	75770.47	75542.62	75717.38	500	0	1400
2026.04.19	04:15:00	75721.70	75822.00	75695.46	75714.98	504	0	1400
2026.04.19	04:30:00	75714.49	75717.59	75442.80	75567.95	686	0	1400
2026.04.19	04:45:00	75572.49	75742.51	75525.91	75690.83	558	0	1400
2026.04.19	05:00:00	75690.87	75722.54	75555.40	75595.25	334	0	1400
2026.04.19	05:15:00	75591.73	75599.48	75538.55	75596.70	256	0	1400
2026.04.19	05:30:00	75596.86	75698.63	75590.83	75629.93	481	0	1400
2026.04.19	05:45:00	75630.03	75638.88	75560.79	75578.79	337	0	1400
2026.04.19	06:00:00	75578.87	75582.99	75419.11	75429.41	574	0	1400
2026.04.19	06:15:00	75436.47	75479.44	75303.40	75433.96	702	0	1400
2026.04.19	06:30:00	75432.10	75515.16	75431.87	75462.79	403	0	1400
2026.04.19	06:45:00	75463.25	75468.10	75382.87	75435.62	307	0	1400
2026.04.19	07:00:00	75437.61	75441.66	75236.22	75270.38	639	0	1400
2026.04.19	07:15:00	75271.89	75279.09	74907.74	75020.68	1545	0	1400
2026.04.19	07:30:00	75022.02	75244.07	75022.02	75224.61	124	0	1400
2026.04.19	07:45:00	75217.86	75327.66	75175.09	75284.26	533	0	1400
2026.04.19	08:00:00	75283.15	75319.84	75206.71	75302.55	561	0	1400
2026.04.19	08:15:00	75297.57	75332.41	75168.08	75171.75	436	0	1400
2026.04.19	08:30:00	75169.86	75289.75	75107.20	75259.13	516	0	1400
2026.04.19	08:45:00	75252.19	75308.25	75200.45	75285.94	500	0	1400
2026.04.19	09:00:00	75284.50	75300.76	75194.03	75210.05	432	0	1400
2026.04.19	09:15:00	75210.07	75229.92	74968.14	75117.29	597	0	1400
2026.04.19	09:30:00	75122.38	75201.54	75080.18	75093.64	570	0	1400
2026.04.19	09:45:00	75097.02	75103.11	74949.17	75045.51	611	0	1400
