trade_number,row_id,predicted_class,true_class,max_confidence,entry_price,future_return,spread_return,raw_trade_return,effective_raw_return,exit_reason,position_notional_usd,margin_required_usd,dynamic_sl_amount_usd,dynamic_tp_amount_usd,dynamic_sl_return,dynamic_tp_return,fee_cost,pnl,balance_before,balance_after,peak_balance,drawdown_pct,win_after_exit
22,2026-04-22 11:24:00,1,0,0.6867779981325589,1.1,3.054662872581382e-05,0.0001789342268456,-0.0001483875981197862,-0.0001483875981197862,final_horizon,1100.0,0.55,2.1812222219470345,4.362444443894069,0.0019829292926791223,0.003965858585358245,0.0,-0.16322635793176482,21.812222219470346,21.64899586153858,21.812222219470346,-0.748325210927222,False
23,2026-04-22 11:25:00,1,0,0.6831084800387967,1.1,2.914574213308541e-05,0.000178965083273,-0.00014981934113991459,-0.00014981934113991459,final_horizon,1100.0,0.55,2.164899586153858,4.329799172307716,0.0019680905328671437,0.003936181065734287,0.0,-0.16480127525390603,21.64899586153858,21.484194586284673,21.812222219470346,-1.5038707651385672,False
24,2026-04-22 11:26:00,1,0,0.5796350920145485,1.1,-1.9679354312795997e-05,0.0001789032210247,-0.000198582575337496,-0.000198582575337496,final_horizon,1100.0,0.55,2.1484194586284673,4.296838917256935,0.0019531085987531522,0.0039062171975063043,0.0,-0.2184408328712456,21.484194586284673,21.265753753413428,21.812222219470346,-2.5053314630598327,False
25,2026-04-22 11:27:00,1,0,0.5966997967972629,1.1,-0.0003852075201705,0.000178869163595,-0.0005640766837655,-0.0005640766837655,final_horizon,1100.0,0.55,2.1265753753413428,4.2531507506826856,0.0019332503412194026,0.0038665006824388053,0.0,-0.62048435214205,21.265753753413428,20.645269401271378,21.812222219470346,-5.34999509200537,False
26,2026-04-22 11:30:00,-1,0,0.8106774892322101,1.1,-0.0009868079227527,0.0001787232977818,0.0008080846249708999,0.0008080846249708999,final_horizon,1100.0,0.55,2.0645269401271378,4.1290538802542756,0.0018768426728428525,0.003753685345685705,0.0,0.8888930874679899,20.645269401271378,21.53416248873937,21.812222219470346,-1.2747886388337413,True
27,2026-04-22 11:31:00,-1,0,0.7583102655999435,1.1,0.000202948591423,0.0001788093316503,-0.0003817579230733,-0.0003817579230733,final_horizon,1100.0,0.55,2.153416248873937,4.306832497747874,0.0019576511353399427,0.0039153022706798855,0.0,-0.41993371538063,21.53416248873937,21.11422877335874,21.812222219470346,-3.200010705413378,False
28,2026-04-22 11:32:00,-1,0,0.8322618914193362,1.1,-0.0005443506568479,0.0001788106334085,0.0003655400234394001,0.0003655400234394001,final_horizon,1100.0,0.55,2.111422877335874,4.222845754671748,0.0019194753430326126,0.0038389506860652253,0.0,0.4020940257833401,21.11422877335874,21.51632279914208,21.812222219470346,-1.3565762229587726,True
29,2026-04-22 11:33:00,-1,0,0.8238179582045907,1.1,-0.0004456614304109,0.0001788265986171,0.0002668348317938,0.0002668348317938,final_horizon,1100.0,0.55,2.151632279914208,4.303264559828416,0.0019560293453765526,0.003912058690753105,0.0,0.29351831497318,21.51632279914208,21.80984111411526,21.812222219470346,-0.01091638133485979,True
30,2026-04-22 11:34:00,-1,0,0.8897218282059195,1.1,-0.0001905946578857,0.0001787223851574,1.1872272728299997e-05,1.1872272728299997e-05,final_horizon,1100.0,0.55,2.1809841114115263,4.3619682228230525,0.001982712828555933,0.003965425657111866,0.0,0.013059500001129997,21.80984111411526,21.822900614116392,21.822900614116392,0.0,True
31,2026-04-22 11:35:00,-1,0,0.6799356569070647,1.1,-0.0001082066366056,0.0001788539448026,-7.064730819700001e-05,-7.064730819700001e-05,final_horizon,1100.0,0.55,2.1822900614116394,4.364580122823279,0.0019839000558287633,0.003967800111657527,0.0,-0.07771203901670001,21.822900614116392,21.745188575099693,21.822900614116392,-0.3561031614946287,False
32,2026-04-22 11:36:00,-1,0,0.6252898709039956,1.1,0.0009496553569061,0.0001789390982057,-0.0011285944551118,-0.0011285944551118,final_horizon,1100.0,0.55,2.174518857509969,4.349037715019938,0.0019768353250090628,0.0039536706500181255,0.0,-1.24145390062298,21.745188575099693,20.503734674476714,21.822900614116392,-6.044869850098481,False
33,2026-04-22 11:37:00,-1,0,0.6213963102224597,1.1,0.0008821481277989,0.0001788828764366,-0.0010610310042355,-0.0010610310042355,final_horizon,1100.0,0.55,2.0503734674476717,4.100746934895343,0.0018639758794978833,0.0037279517589957666,0.0,-1.16713410465905,20.503734674476714,19.336600569817666,21.822900614116392,-11.393077795948146,False
34,2026-04-22 11:38:00,-1,0,0.6221599089871195,1.1,0.0005239700653512,0.0001788729801247,-0.0007028430454759,-0.0007028430454759,final_horizon,1100.0,0.55,1.9336600569817666,3.867320113963533,0.0017578727790743332,0.0035157455581486664,0.0,-0.7731273500234901,19.336600569817666,18.563473219794176,21.822900614116392,-14.935811934247726,False
35,2026-04-22 11:39:00,-1,0,0.6164484096972339,1.1,0.0006369863897839,0.0001789287611752,-0.0008159151509591,-0.0008159151509591,final_horizon,1100.0,0.55,1.8563473219794178,3.7126946439588355,0.0016875884745267435,0.003375176949053487,0.0,-0.89750666605501,18.563473219794176,17.665966553739167,21.822900614116392,-19.048494670265164,False
36,2026-04-22 11:40:00,-1,0,0.5875366251445203,1.1,0.001128725449103,0.0001789598673549,-0.0013076853164578999,-0.0013076853164578999,final_horizon,1100.0,0.55,1.7665966553739167,3.5331933107478335,0.0016059969594308333,0.0032119939188616667,0.0,-1.43845384810369,17.665966553739167,16.227512705635476,21.822900614116392,-25.63998254595668,False
37,2026-04-22 11:41:00,-1,0,0.6563501987891573,1.1,0.0002729605717655,0.0001789067417938,-0.0004518673135593,-0.0004518673135593,final_horizon,1100.0,0.55,1.6227512705635476,3.2455025411270952,0.0014752284277850434,0.0029504568555700867,0.0,-0.49705404491523,16.227512705635476,15.730458660720247,21.822900614116392,-27.917654307856672,False
38,2026-04-22 11:42:00,-1,0,0.6080216448449939,1.1,0.0005717072036002,0.0001789380918936,-0.0007506452954938001,-0.0007506452954938001,final_horizon,1100.0,0.55,1.5730458660720248,3.1460917321440496,0.0014300416964291135,0.002860083392858227,0.0,-0.8257098250431801,15.730458660720247,14.904748835677067,21.822900614116392,-31.70133934424941,False
39,2026-04-22 11:43:00,-1,0,0.58223681700646,1.1,0.00102699177844,0.0001790075311025,-0.0012059993095425,-0.0012059993095425,final_horizon,1100.0,0.55,1.4904748835677069,2.9809497671354137,0.0013549771668797336,0.002709954333759467,0.0,-1.3265992404967502,14.904748835677067,13.578149595180317,21.822900614116392,-37.78027112309197,False
40,2026-04-22 11:44:00,-1,0,0.6128784393730276,1.1,0.0011477074422396,0.0001789697504049,-0.0013266771926445,-0.0012343772359254834,stop_loss,1100.0,0.55,1.3578149595180318,2.7156299190360635,0.0012343772359254834,0.002468754471850967,0.0,-1.3578149595180318,13.578149595180317,12.220334635662285,21.822900614116392,-44.002244010782775,False
