threshold,trades,ending_balance,net_profit,return_pct,max_drawdown_pct,win_rate_pct,avg_pnl,avg_return_per_trade,stop_loss_hits,take_profit_hits,final_horizon_exits,skipped_for_margin,blown_account
0.45,420,307.11878024819504,288.67878024819504,1565.5031466821856,-48.48583291706752,64.04761904761904,0.6873304291623689,0.0006248458446930625,0,0,420,0,False
0.5,355,288.9137212084741,270.4737212084741,1466.7772299808792,-44.19485812676109,65.91549295774648,0.7618978062210539,0.0006926343692918672,1,0,354,0,False
0.55,305,285.470739491672,267.030739491672,1448.1059625361822,-44.002244010782775,68.85245901639344,0.8755106212841708,0.0007959187466219734,2,2,301,0,False
0.6,247,297.6296361217579,279.1896361217579,1514.0435798359974,-32.494462660553786,75.30364372469636,1.1303224134484124,0.0010275658304076478,1,0,246,0,False
0.65,199,294.2026990778166,275.7626990778166,1495.4593225478122,-5.7303974232597,80.90452261306532,1.3857422064211884,0.0012597656422010804,0,0,199,0,False
0.7,150,263.4268741203306,244.98687412033058,1328.5622240798837,-4.266337244747131,87.33333333333333,1.633245827468869,0.0014847689340626088,0,0,150,0,False
