timestamp,event,bar_time,ticket,symbol,predicted_class,confidence,probabilities,result
2026-04-23T22:15:22.771783,order_opened,1776953640,1050328896,BTCUSDm,-1,0.662104778814021,"{""-1"": 0.662104778814021, ""0"": 0.1639976462773856, ""1"": 0.1738975749085934}","{""retcode"": 10009, ""deal"": 520430302, ""order"": 1050328896, ""volume"": 0.01, ""price"": 77554.06, ""bid"": 77554.06, ""ask"": 77568.06, ""comment"": ""lgbm-live"", ""request_id"": 1696313437, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 77554.06, 0.0, 77736.5, 77190.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T22:16:02.434878,signal_skipped,1776953700,0,0.8747274924748644,"{""-1"": 0.012065736088223583, ""0"": 0.8747274924748644, ""1"": 0.11320677143691216}",threshold_or_filter
2026-04-23T22:18:17.540126,signal_skipped,1776953820,0,0.7711797886659406,"{""-1"": 0.096897296276598, ""0"": 0.7711797886659406, ""1"": 0.13192291505746145}",threshold_or_filter
2026-04-23T22:19:03.487570,signal_skipped,1776953880,0,0.6716252922158457,"{""-1"": 0.2547274976125443, ""0"": 0.6716252922158457, ""1"": 0.07364721017160997}",threshold_or_filter
2026-04-23T22:20:02.127422,signal_skipped,1776953940,0,0.6601272479846306,"{""-1"": 0.2711004910305806, ""0"": 0.6601272479846306, ""1"": 0.06877226098478884}",threshold_or_filter
2026-04-23T22:21:03.249157,signal_skipped,1776954000,0,0.7309617751904417,"{""-1"": 0.13455430405451882, ""0"": 0.7309617751904417, ""1"": 0.13448392075503954}",threshold_or_filter
2026-04-23T22:22:02.125154,signal_skipped,1776954060,0,0.6721877946693322,"{""-1"": 0.1882251884421511, ""0"": 0.6721877946693322, ""1"": 0.1395870168885166}",threshold_or_filter
2026-04-23T22:23:05.188300,signal_skipped,1776954120,0,0.5527593703943593,"{""-1"": 0.12348817446091888, ""0"": 0.5527593703943593, ""1"": 0.3237524551447219}",threshold_or_filter
2026-04-23T22:24:01.926796,signal_skipped,1776954180,0,0.49336551120243377,"{""-1"": 0.3225496505822312, ""0"": 0.49336551120243377, ""1"": 0.18408483821533517}",threshold_or_filter
2026-04-23T22:25:02.696126,order_opened,1776954240,1050333642,BTCUSDm,-1,0.6616430206890143,"{""-1"": 0.6616430206890143, ""0"": 0.27874841994403965, ""1"": 0.05960855936694628}","{""retcode"": 10009, ""deal"": 520435110, ""order"": 1050333642, ""volume"": 0.01, ""price"": 77729.24, ""bid"": 77729.24, ""ask"": 77743.24, ""comment"": ""lgbm-live"", ""request_id"": 1696313440, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 77729.24, 0.0, 77907.5, 77371.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T22:26:03.503465,signal_skipped,1776954300,0,0.5264375265617519,"{""-1"": 0.4145203703381383, ""0"": 0.5264375265617519, ""1"": 0.05904210310010972}",threshold_or_filter
2026-04-23T22:27:02.144330,signal_skipped,1776954360,-1,0.3776713978978204,"{""-1"": 0.3776713978978204, ""0"": 0.36990030955486713, ""1"": 0.2524282925473126}",threshold_or_filter
2026-04-23T22:28:02.808552,order_opened,1776954420,1050335879,BTCUSDm,-1,0.7264973923198372,"{""-1"": 0.7264973923198372, ""0"": 0.2179548105385962, ""1"": 0.055547797141566484}","{""retcode"": 10009, ""deal"": 520437442, ""order"": 1050335879, ""volume"": 0.01, ""price"": 77914.44, ""bid"": 77914.44, ""ask"": 77928.44, ""comment"": ""lgbm-live"", ""request_id"": 1696313441, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 77917.97, 0.0, 78078.5, 77596.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T22:29:01.321140,signal_skipped,1776954480,-1,0.6414033375096208,"{""-1"": 0.6414033375096208, ""0"": 0.24600173272004952, ""1"": 0.11259492977032962}",position_already_open
2026-04-23T22:30:01.594620,signal_skipped,1776954540,-1,0.4839793619371762,"{""-1"": 0.4839793619371762, ""0"": 0.344960056845207, ""1"": 0.17106058121761675}",threshold_or_filter
2026-04-23T22:31:01.884270,signal_skipped,1776954600,0,0.8370672729239956,"{""-1"": 0.060792558948453625, ""0"": 0.8370672729239956, ""1"": 0.10214016812755067}",threshold_or_filter
2026-04-23T22:32:02.172087,signal_skipped,1776954660,0,0.6184882177701293,"{""-1"": 0.0671433983488078, ""0"": 0.6184882177701293, ""1"": 0.31436838388106286}",threshold_or_filter
2026-04-23T22:33:02.520416,signal_skipped,1776954720,0,0.7475515136914799,"{""-1"": 0.10907802829012105, ""0"": 0.7475515136914799, ""1"": 0.14337045801839915}",threshold_or_filter
2026-04-23T22:34:02.777617,signal_skipped,1776954780,0,0.7030374754786767,"{""-1"": 0.18168225242314504, ""0"": 0.7030374754786767, ""1"": 0.11528027209817827}",threshold_or_filter
2026-04-23T22:35:03.041041,signal_skipped,1776954840,0,0.5709882097004126,"{""-1"": 0.21653223343999453, ""0"": 0.5709882097004126, ""1"": 0.21247955685959283}",threshold_or_filter
2026-04-23T22:36:01.173149,signal_skipped,1776954900,0,0.7164288116783404,"{""-1"": 0.17502468996598197, ""0"": 0.7164288116783404, ""1"": 0.10854649835567763}",threshold_or_filter
2026-04-23T22:37:01.577806,signal_skipped,1776954960,1,0.4397612994695018,"{""-1"": 0.21783267623916597, ""0"": 0.3424060242913322, ""1"": 0.4397612994695018}",threshold_or_filter
2026-04-23T22:38:01.861123,signal_skipped,1776955020,1,0.5261156190176838,"{""-1"": 0.15292977516349185, ""0"": 0.32095460581882435, ""1"": 0.5261156190176838}",threshold_or_filter
2026-04-23T22:39:02.149388,signal_skipped,1776955080,1,0.4398833396711176,"{""-1"": 0.35368925532636564, ""0"": 0.2064274050025168, ""1"": 0.4398833396711176}",threshold_or_filter
2026-04-23T22:40:02.394219,signal_skipped,1776955140,1,0.43532348824119893,"{""-1"": 0.36207762887973693, ""0"": 0.20259888287906416, ""1"": 0.43532348824119893}",threshold_or_filter
2026-04-23T22:41:06.899947,signal_skipped,1776955200,0,0.4381736931973107,"{""-1"": 0.41091131535407743, ""0"": 0.4381736931973107, ""1"": 0.15091499144861195}",threshold_or_filter
2026-04-23T22:42:01.028793,signal_skipped,1776955260,-1,0.5251653383288256,"{""-1"": 0.5251653383288256, ""0"": 0.19218418938693715, ""1"": 0.2826504722842372}",threshold_or_filter
2026-04-23T22:43:03.713068,timeout_close,1050335879,BTCUSDm,15,0.01,77914.44,77851.51,0.62
2026-04-23T22:43:04.177109,order_opened,1776955320,1050343530,BTCUSDm,-1,0.5588955658600373,"{""-1"": 0.5588955658600373, ""0"": 0.263946326972041, ""1"": 0.1771581071679216}","{""retcode"": 10009, ""deal"": 520444987, ""order"": 1050343530, ""volume"": 0.01, ""price"": 77837.51, ""bid"": 77837.51, ""ask"": 77851.51, ""comment"": ""lgbm-live"", ""request_id"": 1696313443, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 77837.51, 0.0, 78004.5, 77504.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T22:44:02.395233,signal_skipped,1776955380,-1,0.7589202915714797,"{""-1"": 0.7589202915714797, ""0"": 0.11664542485545631, ""1"": 0.12443428357306391}",position_already_open
2026-04-23T22:45:02.681494,signal_skipped,1776955440,-1,0.756862192738884,"{""-1"": 0.756862192738884, ""0"": 0.1304259450836715, ""1"": 0.11271186217744451}",position_already_open
2026-04-23T22:46:02.911627,signal_skipped,1776955500,0,0.9440643439998233,"{""-1"": 0.01915387079436859, ""0"": 0.9440643439998233, ""1"": 0.03678178520580817}",threshold_or_filter
2026-04-23T22:47:03.213864,signal_skipped,1776955560,0,0.7475229494084578,"{""-1"": 0.15651947707025235, ""0"": 0.7475229494084578, ""1"": 0.09595757352128981}",threshold_or_filter
2026-04-23T22:48:01.473248,signal_skipped,1776955620,0,0.4965913374847518,"{""-1"": 0.45563518816544335, ""0"": 0.4965913374847518, ""1"": 0.04777347434980483}",threshold_or_filter
2026-04-23T22:49:02.270288,order_opened,1776955680,1050346138,BTCUSDm,-1,0.5664959413022156,"{""-1"": 0.5664959413022156, ""0"": 0.38302970438141043, ""1"": 0.05047435431637391}","{""retcode"": 10009, ""deal"": 520447635, ""order"": 1050346138, ""volume"": 0.01, ""price"": 77948.21, ""bid"": 77948.21, ""ask"": 77962.21, ""comment"": ""lgbm-live"", ""request_id"": 1696313444, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 77954.09, 0.0, 78102.5, 77656.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T22:50:02.543715,signal_skipped,1776955740,0,0.5036050101644819,"{""-1"": 0.38717953753617806, ""0"": 0.5036050101644819, ""1"": 0.10921545229933997}",threshold_or_filter
2026-04-23T22:51:02.853158,signal_skipped,1776955800,0,0.7499466455159175,"{""-1"": 0.14365108674705268, ""0"": 0.7499466455159175, ""1"": 0.10640226773702985}",threshold_or_filter
2026-04-23T22:52:01.231804,signal_skipped,1776955860,-1,0.6278360555363428,"{""-1"": 0.6278360555363428, ""0"": 0.2958819315732204, ""1"": 0.07628201289043679}",position_already_open
2026-04-23T22:53:03.567200,signal_skipped,1776955920,-1,0.4992028215604662,"{""-1"": 0.4992028215604662, ""0"": 0.4109200545967648, ""1"": 0.0898771238427691}",threshold_or_filter
2026-04-23T22:54:01.789772,signal_skipped,1776955980,-1,0.4323509797828462,"{""-1"": 0.4323509797828462, ""0"": 0.3388956383142101, ""1"": 0.2287533819029438}",threshold_or_filter
2026-04-23T22:55:04.115535,signal_skipped,1776956040,-1,0.48347313591347124,"{""-1"": 0.48347313591347124, ""0"": 0.28707589481232393, ""1"": 0.2294509692742049}",threshold_or_filter
2026-04-23T22:56:02.625277,order_opened,1776956100,1050349095,BTCUSDm,-1,0.5643333180951623,"{""-1"": 0.5643333180951623, ""0"": 0.33711828902548074, ""1"": 0.09854839287935693}","{""retcode"": 10009, ""deal"": 520450691, ""order"": 1050349095, ""volume"": 0.01, ""price"": 78125.45, ""bid"": 78125.45, ""ask"": 78139.45, ""comment"": ""lgbm-live"", ""request_id"": 1696313445, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 78125.41, 0.0, 78256.5, 77861.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T22:57:00.848664,signal_skipped,1776956160,-1,0.5272068505059399,"{""-1"": 0.5272068505059399, ""0"": 0.36786272204589365, ""1"": 0.10493042744816655}",threshold_or_filter
2026-04-23T22:58:03.222567,signal_skipped,1776956220,0,0.39819660927696626,"{""-1"": 0.32636999735883243, ""0"": 0.39819660927696626, ""1"": 0.27543339336420136}",threshold_or_filter
2026-04-23T22:59:01.370335,signal_skipped,1776956280,-1,0.4311002729374357,"{""-1"": 0.4311002729374357, ""0"": 0.41173602367375445, ""1"": 0.15716370338880994}",threshold_or_filter
2026-04-23T23:00:01.676910,signal_skipped,1776956340,0,0.4176873273739133,"{""-1"": 0.3645332324534207, ""0"": 0.4176873273739133, ""1"": 0.217779440172666}",threshold_or_filter
2026-04-23T23:01:01.962593,signal_skipped,1776956400,0,0.9468263472611261,"{""-1"": 0.04806300167667266, ""0"": 0.9468263472611261, ""1"": 0.005110651062201086}",threshold_or_filter
