threshold,trades,win_rate,avg_return,total_return
0.55,1959,0.8785094435936702,0.0021516687679836075,4.215119116479887
0.6,1642,0.9074299634591961,0.0024153719001364466,3.9660406600240456
0.65,1371,0.9226841721371262,0.002680172123008795,3.674515980645058
0.7,1144,0.9335664335664335,0.0028963463766084464,3.3134202548400626
0.75,913,0.9572836801752465,0.0032329406734256634,2.9516748348376307
0.8,720,0.9736111111111111,0.0036483307357589997,2.6267981297464797
