<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.29	00:00:00	66319.74	66417.03	66292.36	66404.77	213	0	1400
2026.03.29	00:05:00	66410.18	66421.98	66332.09	66332.81	178	0	1400
2026.03.29	00:10:00	66325.25	66406.69	66325.25	66359.84	175	0	1400
2026.03.29	00:15:00	66361.69	66426.45	66349.20	66407.12	159	0	1400
2026.03.29	00:20:00	66414.09	66414.09	66214.43	66298.02	326	0	1400
2026.03.29	00:25:00	66295.53	66350.28	66258.14	66333.46	176	0	1400
2026.03.29	00:30:00	66332.23	66418.81	66316.77	66362.69	174	0	1400
2026.03.29	00:35:00	66362.76	66383.61	66296.26	66360.54	178	0	1400
2026.03.29	00:40:00	66355.55	66380.14	66320.90	66349.13	156	0	1400
2026.03.29	00:45:00	66343.35	66373.54	66332.39	66363.80	126	0	1400
2026.03.29	00:50:00	66366.87	66454.12	66347.16	66368.49	175	0	1400
2026.03.29	00:55:00	66369.22	66440.56	66369.22	66416.99	161	0	1400
2026.03.29	01:00:00	66413.42	66498.67	66412.09	66468.66	159	0	1400
2026.03.29	01:05:00	66471.87	66543.82	66442.62	66443.04	247	0	1400
2026.03.29	01:10:00	66446.56	66514.03	66435.77	66487.10	186	0	1400
2026.03.29	01:15:00	66484.44	66537.13	66469.48	66505.22	181	0	1400
2026.03.29	01:20:00	66509.81	66569.61	66485.06	66488.10	177	0	1400
2026.03.29	01:25:00	66484.20	66512.06	66456.84	66501.19	151	0	1400
2026.03.29	01:30:00	66500.61	66510.40	66427.04	66442.76	156	0	1400
2026.03.29	01:35:00	66439.37	66446.78	66315.22	66331.07	196	0	1400
2026.03.29	01:40:00	66331.15	66428.30	66322.13	66404.95	124	0	1400
2026.03.29	01:45:00	66405.02	66430.55	66348.99	66428.43	170	0	1400
2026.03.29	01:50:00	66435.02	66541.02	66421.25	66437.56	219	0	1400
2026.03.29	01:55:00	66449.08	66516.97	66425.21	66507.99	146	0	1400
2026.03.29	02:00:00	66506.12	66555.12	66471.89	66526.01	218	0	1400
2026.03.29	02:05:00	66528.59	66569.00	66509.92	66531.16	167	0	1400
